tick,action,target_r,target_c,agent_r,agent_c,reason,chosen_cost,runner_up,margin,entropy,peak_r,peak_c,peak_belief,peak_evidence_ratio,case,agent,policy,seed,committed,findable,attribution,true_r,true_c,shadow_peak_r,shadow_peak_c
5,hold_position,,,3,3,"too little to go on to commit: uncertainty 0.44, peak traceability 510.76",1.0,retreat,0.35,0.4402,7,5,0.244592,510.7636,1,belief,A_uniform,972299651,0,1,,4,5,7,5
6,hold_position,,,3,3,"too little to go on to commit: uncertainty 0.46, peak traceability 583.75",1.0,retreat,0.35,0.4594,7,5,0.246873,583.7528,1,belief,A_uniform,972299651,0,1,,4,6,7,5
7,hold_position,,,3,3,"too little to go on to commit: uncertainty 0.53, peak traceability 518.70",1.025,retreat,0.35,0.5348,7,5,0.197991,518.6981,1,belief,A_uniform,972299651,0,1,,4,7,7,5
8,hold_position,,,3,3,"too little to go on to commit: uncertainty 0.46, peak traceability 2279.76",1.0,retreat,0.35,0.4611,7,6,0.205083,2279.756,1,belief,A_uniform,972299651,0,1,,4,6,7,5
9,hold_position,,,3,3,"too little to go on to commit: uncertainty 0.48, peak traceability 638.94",1.0,retreat,0.35,0.4768,7,5,0.208334,638.9448,1,belief,A_uniform,972299651,0,1,,4,7,7,5
10,hold_position,,,3,3,"too little to go on to commit: uncertainty 0.50, peak traceability 696.17",1.0,retreat,0.35,0.4971,7,5,0.213383,696.1708,1,belief,A_uniform,972299651,0,1,,4,8,7,5
11,hold_position,,,3,3,"too little to go on to commit: uncertainty 0.56, peak traceability 598.02",1.025,retreat,0.35,0.5645,7,5,0.173702,598.021,1,belief,A_uniform,972299651,0,0,,5,8,7,5
12,search,7,6,3,3,"following the evidence: peak (7, 6) at 0.106, traceability 5326.71",-4.9434,search,1.9347,0.5619,7,6,0.106057,5326.7127,1,belief,A_uniform,972299651,1,0,7.061,6,8,7,5
13,search,7,4,4,3,"following the evidence: peak (7, 4) at 0.134, traceability 64.76",-13.6875,search,11.4464,0.5263,7,4,0.134153,64.7621,1,belief,A_uniform,972299651,1,0,4.4704,7,8,7,5
14,search,6,6,4,4,"following the evidence: peak (6, 6) at 0.217, traceability 27281.55",-5.0437,hold_position,6.1437,0.504,6,6,0.217164,27281.5525,1,belief,A_uniform,972299651,1,0,7.7897,8,8,7,5
15,search,6,6,5,4,"following the evidence: peak (6, 6) at 0.315, traceability 55434.81",-13.9774,hold_position,15.1024,0.4744,6,6,0.314658,55434.8115,1,belief,A_uniform,972299651,1,0,7.7967,9,8,7,5
16,hold_position,,,6,4,"too little to go on to commit: uncertainty 0.63, peak traceability 181155.83",1.15,retreat,0.35,0.6257,6,6,0.147766,181155.8302,1,belief,A_uniform,972299651,0,0,,10,8,7,5
17,search,4,8,6,4,"following the evidence: peak (4, 8) at 0.065, traceability 30.96",-11.6192,search,4.8474,0.6677,4,8,0.065381,30.9597,1,belief,A_uniform,972299651,1,1,1.0236,10,9,7,5
18,search,4,8,5,4,"following the evidence: peak (4, 8) at 0.074, traceability 31.63",-15.8107,search,9.7133,0.6395,4,8,0.073912,31.6345,1,belief,A_uniform,972299651,1,0,1.0324,10,10,7,5
19,search,3,9,4,4,"following the evidence: peak (3, 9) at 0.072, traceability 21.38",-24.1073,search,14.3735,0.6273,3,9,0.072171,21.3792,1,belief,A_uniform,972299651,1,0,0.2233,10,11,7,5
20,search,2,8,4,5,"following the evidence: peak (2, 8) at 0.079, traceability 18.62",-23.2883,search,16.2522,0.6326,2,8,0.079359,18.623,1,belief,A_uniform,972299651,1,0,0.1811,10,12,7,5
21,search,2,8,4,6,"following the evidence: peak (2, 8) at 0.088, traceability 22.70",-25.0633,search,22.7705,0.6338,2,8,0.087515,22.7029,1,belief,A_uniform,972299651,1,0,0.1953,10,13,7,5
22,search,2,8,4,7,"following the evidence: peak (2, 8) at 0.113, traceability 35.92",-16.9786,hold_position,18.2786,0.6385,2,8,0.112692,35.9246,1,belief,A_uniform,972299651,1,0,0.2089,10,14,7,5
23,hold_position,,,4,8,"too little to go on to commit: uncertainty 0.67, peak traceability 1472781.44",1.325,retreat,0.35,0.6679,7,6,0.102133,1472781.4391,1,belief,A_uniform,972299651,0,0,,10,15,7,5
24,flank,4,7,4,8,"following the evidence: peak (7, 6) at 0.129, traceability 1485249.34",0.6399,hold_position,0.7101,0.6002,7,6,0.129332,1485249.3376,1,belief,A_uniform,972299651,1,0,2.8235,10,14,7,5
25,flank,4,7,4,7,"acting on weakly supported belief: traceability 138.66, 1% unaccounted for",0.0433,hold_position,1.3317,0.5897,7,6,0.124454,949163.0484,1,belief,A_uniform,972299651,1,0,2.8033,10,15,7,5
26,flank,4,7,4,7,"acting on weakly supported belief: traceability 132.15, 1% unaccounted for",0.0454,hold_position,1.3546,0.5894,7,6,0.118248,512762.2893,1,belief,A_uniform,972299651,1,0,2.7836,10,16,7,5
27,flank,4,7,4,7,"acting on weakly supported belief: traceability 120.62, 1% unaccounted for",0.0497,hold_position,1.3753,0.5907,7,6,0.11267,265377.2706,1,belief,A_uniform,972299651,1,0,2.7644,9,16,7,5
28,flank,4,7,4,7,"acting on weakly supported belief: traceability 108.13, 1% unaccounted for",0.0555,hold_position,1.3945,0.5921,7,5,0.109045,25887.9542,1,belief,A_uniform,972299651,1,0,2.7457,8,16,7,5
29,flank,4,7,4,7,"acting on weakly supported belief: traceability 100.78, 1% unaccounted for",0.0595,hold_position,1.4155,0.5933,7,5,0.107628,16744.8079,1,belief,A_uniform,972299651,1,0,2.7277,7,16,7,5
30,flank,4,7,4,7,"acting on weakly supported belief: traceability 96.23, 1% unaccounted for",0.0624,hold_position,1.4376,0.5946,7,5,0.106119,11425.4542,1,belief,A_uniform,972299651,1,0,2.7104,6,16,7,5
31,flank,4,7,4,7,"acting on weakly supported belief: traceability 92.49, 1% unaccounted for",0.0649,hold_position,1.4601,0.5958,7,5,0.104579,8146.7809,1,belief,A_uniform,972299651,1,0,2.6937,6,17,7,5
32,flank,4,7,4,7,"acting on weakly supported belief: traceability 88.35, 1% unaccounted for",0.0679,hold_position,1.4821,0.5971,7,5,0.103046,6024.3315,1,belief,A_uniform,972299651,1,0,2.6777,6,18,7,5
33,flank,4,7,4,7,"acting on weakly supported belief: traceability 82.62, 1% unaccounted for",0.0726,hold_position,1.5024,0.5984,7,5,0.101539,4592.0923,1,belief,A_uniform,972299651,1,0,2.6624,6,19,7,5
34,flank,4,7,4,7,"acting on weakly supported belief: traceability 74.62, 1% unaccounted for",0.0804,hold_position,1.5196,0.5998,7,5,0.100072,3590.8813,1,belief,A_uniform,972299651,1,0,2.6477,6,20,7,5
35,flank,4,7,4,7,"acting on weakly supported belief: traceability 64.71, 2% unaccounted for",0.0927,hold_position,1.5323,0.6012,7,5,0.09865,2869.5298,1,belief,A_uniform,972299651,1,0,2.6338,6,21,7,5
36,flank,4,7,4,7,"acting on weakly supported belief: traceability 54.19, 2% unaccounted for",0.1107,hold_position,1.5393,0.6027,7,5,0.097276,2336.1216,1,belief,A_uniform,972299651,1,0,2.6204,6,22,3,3
37,flank,4,7,4,7,"acting on weakly supported belief: traceability 44.45, 2% unaccounted for",0.135,hold_position,1.54,0.6042,7,5,0.095951,1932.6929,1,belief,A_uniform,972299651,1,0,2.6077,6,21,3,3
38,flank,4,7,4,7,"acting on weakly supported belief: traceability 36.27, 3% unaccounted for",0.1654,hold_position,1.5346,0.6057,7,5,0.094674,1621.5,1,belief,A_uniform,972299651,1,0,2.5956,6,20,3,3
39,flank,4,7,4,7,"acting on weakly supported belief: traceability 29.78, 3% unaccounted for",0.2015,hold_position,1.5235,0.6072,7,5,0.093444,1377.2606,1,belief,A_uniform,972299651,1,0,2.5841,6,19,3,2
40,flank,4,7,4,7,"acting on weakly supported belief: traceability 24.81, 4% unaccounted for",0.2419,hold_position,1.5081,0.6088,7,5,0.092258,1182.6084,1,belief,A_uniform,972299651,1,0,2.5731,6,18,3,2
41,flank,4,7,4,7,"acting on weakly supported belief: traceability 21.03, 5% unaccounted for",0.2853,search,0.3053,0.6103,7,5,0.091115,1025.3446,1,belief,A_uniform,972299651,1,0,2.5626,6,17,3,2
42,search,7,5,4,7,"following the evidence: peak (7, 5) at 0.090, traceability 896.73",-5.0591,search,2.7923,0.6118,7,5,0.090013,896.7268,1,belief,A_uniform,972299651,1,0,4.6641,6,16,3,2
43,search,7,5,4,6,"following the evidence: peak (7, 5) at 0.090, traceability 801.91",-26.5322,search,13.8733,0.6111,7,5,0.090089,801.9112,1,belief,A_uniform,972299651,1,0,4.6207,6,15,3,2
44,search,7,5,4,5,"following the evidence: peak (7, 5) at 0.105, traceability 834.75",-30.3251,search,14.1323,0.6069,7,5,0.104575,834.7492,1,belief,A_uniform,972299651,1,0,4.5786,5,15,3,2
45,search,7,6,4,4,"following the evidence: peak (7, 6) at 0.139, traceability 3320.72",-11.2794,search,12.3567,0.6529,7,6,0.139388,3320.7166,1,belief,A_uniform,972299651,1,0,4.7921,4,15,3,2
46,search,6,6,5,4,"following the evidence: peak (6, 6) at 0.126, traceability 7473.09",-5.4049,hold_position,7.3049,0.6995,6,6,0.125957,7473.0864,1,belief,A_uniform,972299651,1,0,4.7443,4,16,3,2
47,search,11,2,6,4,"following the evidence: peak (11, 2) at 0.044, traceability 6.32",-2.2162,hold_position,4.1412,0.7955,11,2,0.04365,6.3157,1,belief,A_uniform,972299651,1,0,0.2511,4,17,3,2
48,search,11,2,7,4,"following the evidence: peak (11, 2) at 0.051, traceability 7.46",-9.2782,hold_position,11.2282,0.7786,11,2,0.050523,7.4629,1,belief,A_uniform,972299651,1,0,0.2644,3,17,3,2
49,search,11,2,8,4,"following the evidence: peak (11, 2) at 0.049, traceability 7.34",-10.0892,hold_position,12.0642,0.7688,11,2,0.048549,7.3393,1,belief,A_uniform,972299651,1,0,0.2776,2,17,3,2
50,search,11,2,8,3,"following the evidence: peak (11, 2) at 0.043, traceability 7.17",-9.3567,hold_position,11.3567,0.7706,11,2,0.043104,7.1651,1,belief,A_uniform,972299651,1,0,0.2908,1,17,2,2
51,hold_position,,,8,2,"too little to go on to commit: uncertainty 0.77, peak traceability 8.95",2.025,retreat,0.35,0.7743,1,14,0.039898,8.9543,1,belief,A_uniform,972299651,0,0,,2,17,2,2
52,search,10,15,8,2,"following the evidence: peak (1, 14) at 0.041, traceability 9.37",1.6419,hold_position,0.4081,0.7643,1,14,0.041314,9.3669,1,belief,A_uniform,972299651,1,0,0.0016,3,17,2,2
53,search,10,15,7,2,"following the evidence: peak (1, 14) at 0.041, traceability 9.44",0.9395,hold_position,1.1355,0.7651,1,14,0.040882,9.4354,1,belief,A_uniform,972299651,1,0,0.0018,4,17,2,2
54,search,10,15,6,2,"following the evidence: peak (1, 14) at 0.040, traceability 9.45",0.3741,hold_position,1.7259,0.7686,1,14,0.04021,9.451,1,belief,A_uniform,972299651,1,0,0.002,4,16,2,2
55,search,10,15,6,3,"following the evidence: peak (1, 14) at 0.040, traceability 9.46",-0.1739,hold_position,2.2989,0.7723,1,14,0.039538,9.4603,1,belief,A_uniform,972299651,1,0,0.0022,4,15,2,2
56,search,10,15,6,4,"following the evidence: peak (1, 14) at 0.039, traceability 9.46",-0.7012,hold_position,2.8512,0.7762,1,14,0.038858,9.4623,1,belief,A_uniform,972299651,1,0,0.0024,5,15,2,2
57,search,10,15,5,4,"following the evidence: peak (1, 14) at 0.038, traceability 9.47",-1.2539,hold_position,3.4289,0.7792,1,14,0.038259,9.4724,1,belief,A_uniform,972299651,1,0,0.0027,4,15,2,2
58,search,10,15,4,4,"following the evidence: peak (1, 14) at 0.038, traceability 9.55",-1.9647,hold_position,4.1647,0.7786,1,14,0.037981,9.5542,1,belief,A_uniform,972299651,1,0,0.0029,5,15,2,2
59,search,10,15,4,5,"following the evidence: peak (1, 14) at 0.038, traceability 9.63",-2.6569,hold_position,4.8819,0.7785,1,14,0.037689,9.6283,1,belief,A_uniform,972299651,1,0,0.0032,6,15,2,2
60,search,10,15,4,6,"following the evidence: peak (1, 14) at 0.038, traceability 9.89",-3.7814,hold_position,6.0314,0.7748,1,14,0.038225,9.8923,1,belief,A_uniform,972299651,1,0,0.0035,6,16,2,2
61,search,10,15,4,7,"following the evidence: peak (1, 14) at 0.042, traceability 10.88",-6.3152,search,7.5953,0.763,1,14,0.04184,10.8798,1,belief,A_uniform,972299651,1,0,0.0038,7,16,2,2
62,search,10,15,4,8,"following the evidence: peak (1, 14) at 0.053, traceability 13.58",-5.6889,search,5.2341,0.7433,1,14,0.0526,13.5806,1,belief,A_uniform,972299651,1,0,0.0041,8,16,2,2
63,search,10,15,5,8,"following the evidence: peak (1, 14) at 0.057, traceability 15.04",-5.1644,search,4.3749,0.7303,1,14,0.057189,15.0397,1,belief,A_uniform,972299651,1,1,0.0045,9,16,2,2
64,search,10,15,6,8,"following the evidence: peak (1, 14) at 0.061, traceability 16.41",-3.5204,search,2.453,0.7272,1,14,0.061335,16.4066,1,belief,A_uniform,972299651,1,1,0.0048,10,16,2,2
65,search,2,14,7,8,"following the evidence: peak (2, 14) at 0.070, traceability 18.89",-2.9283,search,3.4073,0.7257,2,14,0.070348,18.8921,1,belief,A_uniform,972299651,1,0,0.0581,10,15,2,2
66,search,2,14,6,8,"following the evidence: peak (2, 14) at 0.070, traceability 19.15",-7.4269,hold_position,9.8269,0.7284,2,14,0.069613,19.1533,1,belief,A_uniform,972299651,1,0,0.0608,10,14,2,2
67,search,2,14,5,8,"following the evidence: peak (2, 14) at 0.069, traceability 19.39",-7.9149,hold_position,10.3399,0.7324,2,14,0.06884,19.3948,1,belief,A_uniform,972299651,1,0,0.0635,9,14,2,2
68,search,2,14,4,8,"following the evidence: peak (2, 14) at 0.069, traceability 19.99",-8.5261,hold_position,10.9761,0.7368,2,14,0.069409,19.9879,1,belief,A_uniform,972299651,1,0,0.0663,8,14,2,2
69,search,2,14,3,8,"following the evidence: peak (2, 14) at 0.070, traceability 22.59",-5.6972,hold_position,8.1722,0.7471,2,14,0.069765,22.5944,1,belief,A_uniform,972299651,1,0,0.0691,8,13,2,2
70,hold_position,,,2,8,"too little to go on to commit: uncertainty 0.78, peak traceability 28.19",2.5,retreat,0.35,0.7777,1,15,0.044101,28.1867,1,belief,A_uniform,972299651,0,0,,8,12,2,2
71,search,10,15,2,8,"following the evidence: peak (11, 5) at 0.040, traceability 4.82",0.5195,search,0.8333,0.7807,11,5,0.040127,4.8192,1,belief,A_uniform,972299651,1,1,0.0077,8,11,2,2
72,hold_position,,,3,8,"too little to go on to commit: uncertainty 0.75, peak traceability 2071.60",1.0,retreat,0.35,0.7502,1,13,0.145612,2071.5997,1,belief,A_uniform,972299651,0,1,,8,10,4,7
73,hold_position,,,3,8,"too little to go on to commit: uncertainty 0.51, peak traceability 4161.66",1.0,retreat,0.35,0.5116,1,13,0.314818,4161.66,1,belief,A_uniform,972299651,0,1,,7,10,4,8
74,hold_position,,,3,8,"too little to go on to commit: uncertainty 0.43, peak traceability 3897.24",1.0,retreat,0.35,0.4305,1,13,0.283674,3897.2382,1,belief,A_uniform,972299651,0,1,,6,10,4,8
75,hold_position,,,3,8,"too little to go on to commit: uncertainty 0.45, peak traceability 3379.56",1.0,retreat,0.35,0.4478,1,13,0.230677,3379.5625,1,belief,A_uniform,972299651,0,1,,5,10,4,8
76,hold_position,,,3,8,"too little to go on to commit: uncertainty 0.47, peak traceability 3018.05",1.0,retreat,0.35,0.4723,1,13,0.191852,3018.0496,1,belief,A_uniform,972299651,0,1,,4,10,4,8
77,hold_position,,,3,8,"too little to go on to commit: uncertainty 0.53, peak traceability 2549.02",1.025,retreat,0.35,0.5289,1,13,0.150556,2549.0189,1,belief,A_uniform,972299651,0,1,,5,10,4,8
78,hold_position,,,3,8,"too little to go on to commit: uncertainty 0.51, peak traceability 2924.37",1.0,retreat,0.35,0.5113,1,13,0.160323,2924.371,1,belief,A_uniform,972299651,0,1,,6,10,4,8
79,hold_position,,,3,8,"too little to go on to commit: uncertainty 0.52, peak traceability 2754.18",1.0,retreat,0.35,0.5222,1,13,0.140074,2754.1784,1,belief,A_uniform,972299651,0,1,,7,10,4,8
0,hold_position,,,12,20,"too little to go on to commit: uncertainty 0.54, peak traceability 19.00",-38.6539,search,2.6244,0.5435,9,21,0.094549,19.0044,2,belief,A_uniform,1053741944,0,1,,9,20,9,21
1,hold_position,,,12,20,"too little to go on to commit: uncertainty 0.60, peak traceability 104.00",1.025,flank,0.0446,0.6021,9,21,0.092424,104.0021,2,belief,A_uniform,1053741944,0,0,,9,19,9,21
2,flank,12,19,12,20,"following the evidence: peak (9, 21) at 0.064, traceability 408.84",0.6923,hold_position,0.3577,0.7533,9,21,0.064292,408.8433,2,belief,A_uniform,1053741944,1,0,2.4647,9,18,9,21
3,search,9,20,12,19,"following the evidence: peak (9, 20) at 0.168, traceability 180.15",-4.4692,call_reinforcements,3.1305,0.5178,9,20,0.167567,180.1499,2,belief,A_uniform,1053741944,1,1,24.8965,9,19,9,20
4,search,9,19,12,20,"following the evidence: peak (9, 19) at 0.257, traceability 111.86",-24.9862,call_reinforcements,16.5177,0.4182,9,19,0.257197,111.8576,2,belief,A_uniform,1053741944,1,1,27.6443,9,18,9,20
5,search,9,18,11,20,"following the evidence: peak (9, 18) at 0.284, traceability 49.34",-26.2737,call_reinforcements,15.8285,0.4297,9,18,0.283606,49.3363,2,belief,A_uniform,1053741944,1,1,8.0162,10,18,9,20
6,search,9,18,10,20,"following the evidence: peak (9, 18) at 0.277, traceability 55.96",-33.2479,search,14.1903,0.3769,9,18,0.277341,55.9628,2,belief,A_uniform,1053741944,1,1,24.9721,10,17,9,19
7,call_reinforcements,9,18,9,20,"following the evidence: peak (9, 18) at 0.226, traceability 317.31",-6.0703,hold_position,7.0703,0.4158,9,18,0.226351,317.3122,2,belief,A_uniform,1053741944,1,1,22.1779,10,16,9,19
8,hold_position,,,9,20,"too little to go on to commit: uncertainty 0.44, peak traceability 1881.49",1.0,retreat,0.35,0.4423,9,18,0.19408,1881.4902,2,belief,A_uniform,1053741944,0,1,,10,15,9,18
9,hold_position,,,9,20,"too little to go on to commit: uncertainty 0.46, peak traceability 11373.02",1.0,retreat,0.35,0.4618,9,18,0.172166,11373.0174,2,belief,A_uniform,1053741944,0,1,,10,14,9,18
10,hold_position,,,9,20,"too little to go on to commit: uncertainty 0.48, peak traceability 69581.88",1.025,retreat,0.35,0.4794,9,18,0.156056,69581.8809,2,belief,A_uniform,1053741944,0,0,,9,14,9,18
11,hold_position,,,9,20,"too little to go on to commit: uncertainty 0.50, peak traceability 423411.02",1.05,retreat,0.35,0.5039,9,18,0.141788,423411.0193,2,belief,A_uniform,1053741944,0,0,,8,14,9,18
12,hold_position,,,9,20,"too little to go on to commit: uncertainty 0.56, peak traceability 2352401.07",1.075,retreat,0.35,0.5557,9,18,0.120197,2352401.0713,2,belief,A_uniform,1053741944,0,0,,8,13,9,18
13,search,6,16,9,20,"following the evidence: peak (6, 16) at 0.090, traceability 20.41",-4.5148,search,0.8664,0.6242,6,16,0.089537,20.4132,2,belief,A_uniform,1053741944,1,0,0.4151,8,12,9,18
14,search,6,16,8,20,"following the evidence: peak (6, 16) at 0.138, traceability 31.12",-12.48,search,4.7548,0.6072,6,16,0.137775,31.1212,2,belief,A_uniform,1053741944,1,0,0.522,8,11,9,18
15,search,6,16,8,19,"following the evidence: peak (6, 16) at 0.145, traceability 32.22",-16.1962,search,4.7876,0.5779,6,16,0.144963,32.2156,2,belief,A_uniform,1053741944,1,0,0.6284,8,10,9,18
16,search,6,16,8,18,"following the evidence: peak (6, 16) at 0.127, traceability 29.42",-17.7927,search,4.8511,0.582,6,16,0.127199,29.4218,2,belief,A_uniform,1053741944,1,0,0.7328,7,10,9,18
17,search,6,16,8,17,"following the evidence: peak (6, 16) at 0.112, traceability 31.39",-13.1156,search,4.6703,0.5883,6,16,0.111884,31.3916,2,belief,A_uniform,1053741944,1,0,0.8339,6,10,9,18
18,search,9,13,8,16,"following the evidence: peak (9, 13) at 0.102, traceability 16.72",-17.0656,search,15.9171,0.5996,9,13,0.101786,16.7241,2,belief,A_uniform,1053741944,1,0,0.0892,5,10,9,18
19,search,9,13,9,16,"following the evidence: peak (9, 13) at 0.100, traceability 16.55",-22.3607,search,22.0215,0.6037,9,13,0.100187,16.5539,2,belief,A_uniform,1053741944,1,0,0.1135,4,10,9,18
20,search,6,18,10,16,"following the evidence: peak (8, 13) at 0.108, traceability 27.93",-7.0327,search,1.1801,0.612,8,13,0.108461,27.9329,2,belief,A_uniform,1053741944,1,0,0.1744,3,10,9,18
21,search,6,18,9,16,"following the evidence: peak (8, 13) at 0.092, traceability 29.31",-11.6054,search,5.2496,0.6223,8,13,0.092419,29.3069,2,belief,A_uniform,1053741944,1,0,0.2066,2,10,9,18
22,search,6,18,8,16,"following the evidence: peak (8, 13) at 0.089, traceability 32.32",-12.7394,search,5.3312,0.6253,8,13,0.088562,32.3216,2,belief,A_uniform,1053741944,1,0,0.24,2,11,9,18
23,search,6,18,7,16,"following the evidence: peak (6, 19) at 0.088, traceability 15.32",-12.4603,search,5.2604,0.6176,6,19,0.088383,15.3187,2,belief,A_uniform,1053741944,1,0,0.2741,2,12,9,18
24,search,8,13,6,16,"following the evidence: peak (8, 13) at 0.123, traceability 50.59",-0.6414,hold_position,2.0164,0.587,8,13,0.122523,50.5902,2,belief,A_uniform,1053741944,1,0,0.1441,2,13,9,18
25,search,8,13,7,16,"following the evidence: peak (8, 13) at 0.114, traceability 50.14",-4.7937,hold_position,6.1937,0.5867,8,13,0.114454,50.1438,2,belief,A_uniform,1053741944,1,0,0.1683,2,14,9,18
26,hold_position,,,8,16,"too little to go on to commit: uncertainty 0.59, peak traceability 51.04",1.425,retreat,0.35,0.5888,9,13,0.113093,51.0411,2,belief,A_uniform,1053741944,0,0,,2,13,9,18
27,search,9,13,8,16,"following the evidence: peak (9, 13) at 0.112, traceability 50.25",-0.2942,flank,1.118,0.593,9,13,0.111583,50.251,2,belief,A_uniform,1053741944,1,0,0.3595,2,12,9,18
28,search,9,13,9,16,"following the evidence: peak (9, 13) at 0.109, traceability 49.14",-1.0262,hold_position,2.5012,0.5993,9,13,0.109376,49.1418,2,belief,A_uniform,1053741944,1,0,0.3927,2,11,9,18
29,search,8,13,10,16,"following the evidence: peak (8, 13) at 0.169, traceability 108.61",-9.236,hold_position,10.736,0.6393,8,13,0.16877,108.6098,2,belief,A_uniform,1053741944,1,0,0.2751,2,10,9,18
30,search,8,14,10,15,"following the evidence: peak (8, 14) at 0.145, traceability 218.45",-2.7795,hold_position,4.3045,0.6842,8,14,0.145265,218.448,2,belief,A_uniform,1053741944,1,0,0.4859,3,10,9,18
31,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.72, peak traceability 98.92",1.55,retreat,0.35,0.7181,6,20,0.097188,98.9228,2,belief,A_uniform,1053741944,0,0,,4,10,9,18
32,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.70, peak traceability 98.18",1.575,retreat,0.35,0.6965,6,21,0.108535,98.1819,2,belief,A_uniform,1053741944,0,0,,5,10,9,18
33,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.69, peak traceability 102.53",1.6,retreat,0.35,0.6894,6,21,0.111735,102.531,2,belief,A_uniform,1053741944,0,0,,6,10,9,18
34,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.69, peak traceability 105.04",1.625,retreat,0.35,0.6896,6,21,0.112772,105.0434,2,belief,A_uniform,1053741944,0,1,,7,10,9,18
35,flank,10,15,10,14,"following the evidence: peak (8, 9) at 0.180, traceability 174.09",0.6003,hold_position,0.3997,0.6201,8,9,0.17958,174.086,2,belief,A_uniform,1053741944,1,1,8.7363,8,10,9,18
36,flank,10,15,10,15,"acting on weakly supported belief: traceability 13343.40, 0% unaccounted for",0.0004,hold_position,1.0246,0.6741,8,9,0.105902,75.3216,2,belief,A_uniform,1053741944,1,1,8.757,9,10,9,18
37,flank,10,15,10,15,"acting on weakly supported belief: traceability 117628.13, 0% unaccounted for",0.0001,hold_position,0.9999,0.3737,8,10,0.408304,843.478,2,belief,A_uniform,1053741944,1,1,9.3363,10,10,9,18
38,flank,10,15,10,15,"acting on weakly supported belief: traceability 195182.44, 0% unaccounted for",0.0,hold_position,1.0,0.3677,8,10,0.3304,584.2602,2,belief,A_uniform,1053741944,1,1,9.6208,10,11,9,18
39,flank,10,15,10,15,"acting on weakly supported belief: traceability 304726.77, 0% unaccounted for",0.0,hold_position,1.0,0.4066,8,10,0.247107,404.2648,2,belief,A_uniform,1053741944,1,1,9.8456,10,12,9,18
40,flank,10,15,10,15,"acting on weakly supported belief: traceability 355052.11, 0% unaccounted for",0.0,hold_position,1.0,0.4381,8,10,0.190656,299.1794,2,belief,A_uniform,1053741944,1,1,10.0066,10,13,9,18
41,flank,10,15,10,15,"acting on weakly supported belief: traceability 327249.24, 0% unaccounted for",0.0,hold_position,1.025,0.501,9,10,0.143465,8089.0915,2,belief,A_uniform,1053741944,1,1,9.7652,10,14,9,18
0,search,4,16,2,20,"following the evidence: peak (4, 12) at 0.070, traceability 14.07",-15.8379,search,1.997,0.8608,4,12,0.070023,14.0746,3,belief,A_uniform,835894097,1,1,3.1329,5,12,4,12
1,search,5,12,3,20,"following the evidence: peak (5, 12) at 0.078, traceability 12.41",-7.67,search,7.9569,0.8521,5,12,0.077572,12.415,3,belief,A_uniform,835894097,1,1,12.0283,6,12,5,12
