case_id,true_state,account_age,prior_purchases,refund_history,device_age,session_type,hour,amount,product_type,amount_usd,P_H1_legit,P_H2_stolen_card,P_H3_ato,P_H4_friendly,P_H5_refund_abuse,P_hostile,P_fraud_any,account_risk,action_B0,action_P1,action_P2,action_P3,cost_B0,cost_P1,cost_P2,cost_P3,consent,consumed_pct,cr_reason,refund_preference,refund_request
C033,H1_legit,mid,many,no,known,normal,night,small,consumable,4.99,0.9815035262455896,5.388139691730288e-05,0.0024945091165418,0.0148761270285967,0.0010719562123547622,0.0025483905134591027,0.018496473754410565,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C034,H5_refund_abuse,new,few,no,known,direct,day,medium,consumable,19.99,0.8548533477870096,0.02529457369659629,0.004866680845905972,0.03383989809243492,0.08114549957805331,0.03016125454250226,0.1451466522129905,True,approve,approve,approve,approve,24.99,24.99,24.99,24.99,True,0.99,UNSATISFIED_WITH_PURCHASE,PREFER_GRANT,True
C035,H1_legit,old,many,no,known,normal,day,small,subscription,4.99,0.9906709358993706,1.0155159963482098e-06,0.00021541248407386262,0.009099412041536931,1.322405902230281e-05,0.00021642800007021083,0.009329064100629446,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C036,H1_legit,old,none,no,known,normal,day,medium,consumable,19.99,0.9876742652554451,0.00014844272370988977,0.0003935981310489501,0.01055637797318997,0.0012273159166061702,0.0005420408547588399,0.012325734744554982,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C037,H1_legit,mid,few,yes,known,normal,night,small,subscription,4.99,0.9712754144643543,4.189421214908359e-05,0.0005172124956676988,0.022622874560505137,0.005542604267323758,0.0005591067078167824,0.028724585535645678,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C038,H1_legit,old,few,no,known,normal,night,medium,consumable,19.99,0.972106078269889,0.00011206756501793842,0.007747881038277224,0.018335264772859697,0.0016987083539561194,0.007859948603295162,0.027893921730110977,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C039,H1_legit,old,none,no,known,direct,day,large,consumable,49.99,0.8205579710749665,0.03995760554799837,0.035316065509594506,0.07893197541607332,0.025236382451367396,0.07527367105759288,0.17944202892503358,True,approve,question,question,question,0.0,3.9995000000000003,3.9995000000000003,3.9995000000000003,,,,,False
C040,H1_legit,new,none,no,known,direct,day,small,non_consumable,4.99,0.9138322557460138,0.05438847048691251,0.0004905165087203509,0.02238304279266022,0.00890571446569328,0.054878986995632865,0.08616774425398636,True,approve,question,question,approve,0.0,1.7495,1.7495,0.0,,,,,False
C041,H1_legit,new,many,no,known,direct,day,large,subscription,49.99,0.9000529207317365,0.020925143386577208,0.015097506050921502,0.05511384314167976,0.00881058668908514,0.03602264943749871,0.09994707926826361,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C042,H1_legit,old,few,no,known,normal,day,medium,consumable,19.99,0.986627678378333,1.5446398614797658e-05,0.0008737356792208776,0.01171687992259593,0.0007662596212355125,0.0008891820778356753,0.013372321621667118,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C043,H1_legit,old,none,no,known,normal,day,medium,consumable,19.99,0.9876742652554451,0.00014844272370988977,0.0003935981310489501,0.01055637797318997,0.0012273159166061702,0.0005420408547588399,0.012325734744554982,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C044,H1_legit,old,many,no,new,normal,day,small,subscription,4.99,0.916928525275852,4.793613409895115e-05,0.007177602966687871,0.07579872534459986,4.72102787613425e-05,0.007225539100786822,0.08307147472414803,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C045,H3_ato,mid,many,no,new,direct,day,medium,consumable,19.99,0.37624305762942134,0.03476158684619653,0.3098180645828567,0.2585140566552414,0.020663234286284006,0.3445796514290532,0.6237569423705787,False,approve,examine,question,question,34.989999999999995,9.3998,8.747499999999999,8.747499999999999,,,,,False
C046,H2_stolen_card,new,none,no,known,direct,day,large,consumable,49.99,0.39344617121391157,0.44704608439377774,0.004031800905427288,0.021025993293265918,0.13444995019361738,0.451077885299205,0.6065538287860883,True,approve,examine,examine,examine,64.99000000000001,9.9998,9.9998,9.9998,,,,,False
C047,H1_legit,new,few,yes,known,normal,day,small,non_consumable,4.99,0.9698284795921789,7.422992875747776e-05,4.284555772437389e-05,0.014749583246615705,0.015304861674723592,0.00011707548648185164,0.03017152040782115,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C048,H1_legit,old,few,no,known,normal,day,medium,consumable,19.99,0.986627678378333,1.5446398614797658e-05,0.0008737356792208776,0.01171687992259593,0.0007662596212355125,0.0008891820778356753,0.013372321621667118,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C049,H1_legit,old,few,no,known,normal,day,small,consumable,4.99,0.9905909538303602,5.169482224617194e-06,0.00029241515613996253,0.00882295990128513,0.00028850162999011935,0.0002975846383645797,0.009409046169639829,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C050,H4_friendly,old,none,no,new,normal,night,small,consumable,4.99,0.8471128105277504,0.01593777461704384,0.036458961542257154,0.09706464240455269,0.003425810908395978,0.052396736159300995,0.15288718947224966,True,approve,question,question,approve,4.994,6.7435,6.7435,4.994,,,,,False
